#,プロジェクト,トラッカー,親チケット,親チケットの題名,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,合計予定工数,進捗率,作成日,終了日,最終更新者,関連するチケット,ファイル,実開始日,実終了日,残工数(Lychee),合計残工数(Lychee),プライベート,説明,最新のコメント
174510,データ化ツール,タスク,"","",進行中,通常,【Docデータ化】AOAIのGPT4.1に変更・デプロイ(データ化部分のみ),Iさん,Nさん,2025/06/17 09:36,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/06/17 09:35,"",Iさん,"","",2025/06/17,"","","",いいえ,"",""
174509,MatlabCoDriver,タスク,156843,課題：Flex従量課金プランのFunction上でデプロイエラー,進行中,通常,SRに原因調査を依頼,Bさん,Bさん,2025/06/17 09:43,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/17 09:33,"",Bさん,"","",2025/06/17,"","","",いいえ,"",""
174499,データ化ツール,タスク,"","",新規,通常,【Docデータ化】動確_0612_ビューワ上で日本語が欠ける,Kさん,"",2025/06/17 09:14,"","",2025/06/17,"","","",0,2025/06/17 09:14,"","","","","","","","",いいえ,ファイル：211201_un154-00j (1).pdf,""
174381,O-Beya（マルチエージェント）,タスク,"","",進行中,通常,なぜなぜ分析用UI検討続き,Eさん,Eさん,2025/06/17 09:04,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/13 18:54,"",Eさん,"","",2025/06/17,"","","",いいえ,"大西さんから頂いたUIイメージをもとに検討中。
疑問点を洗い出して認識合わせした上、いつどこまで実装するかを決める予定。",2025/06/17 いつどこまでにやるかを検討中
174380,データ化ツール,タスク,"","",新規,通常,【Docデータ化】画面(フロントエンド)_分類抽出 条件追加(プロンプト追加),Bさん,"",2025/06/17 09:51,"","",2025/06/13,"","","",0,2025/06/13 18:36,"",Iさん,"","","","","","",いいえ,"分類名に対応する条件を追加できるフィールドを用意する。

例）分類名：企画概要
　　条件　：企画概要は以下の観点で情報をまとめてください。
　　　　　　・業務課題
　　　　　　・現状
　　　　　　・あるべき姿",""
174379,データ化ツール,タスク,"","",新規,通常,【Docデータ化】バックエンド_分類抽出 条件追加,Bさん,"",2025/06/17 10:28,"","",2025/06/13,"","","",0,2025/06/13 18:36,"","","","","","","","",いいえ,"分類名に対応する条件を追加できるフィールドを用意する。

例）分類名：企画概要
　　条件　：企画概要は以下の観点で情報をまとめてください。
　　　　　　・業務課題
　　　　　　・現状
　　　　　　・あるべき姿",""
174353,走行制御DRアシスタント,タスク,"","",新規,通常,【専門用語検索API】タスク洗い出し,Dさん,"",2025/06/13 17:40,"",Sprint#14,2025/06/10,2025/06/16,"","",0,2025/06/13 17:40,"","","","","","","","",いいえ,"",""
174289,走行制御DRアシスタント,タスク,"","",新規,通常,【専門用語検索API】実装,Dさん,"",2025/06/13 15:48,"","",2025/06/13,"","","",0,2025/06/13 15:39,"",Dさん,"","","","","","",いいえ,"入力された変化点から単語を抽出し、抽出された単語を1つずつベクトル検索して関連度の高い用語を抽出する関数の実装
行検索の仕組みに組み込む",""
174258,走行制御DRアシスタント,タスク,"","",新規,通常,【専門用語検索API】DB構築,Dさん,"",2025/06/13 15:40,"","",2025/06/13,"","","",0,2025/06/13 15:35,"","","","","","","","",いいえ,専門用語集のdescriptionの内容をベクトル化し、ベクトル検索できるようにする,""
174200,業務アシスタント-制御設計サポートAI,タスク,174197,No25_【調査】空フォーマットファイルへの転記処理後にオブジェクトがなくなる原因調査,フィードバック,通常,③転記後ファイルのBlob保存時には存在するか,Aさん,Aさん,2025/06/17 10:26,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/13 13:36,"",Aさん,"","",2025/06/17,"","","",いいえ,"",""
174199,業務アシスタント-制御設計サポートAI,タスク,174197,No25_【調査】空フォーマットファイルへの転記処理後にオブジェクトがなくなる原因調査,フィードバック,通常,②Blobから取得後のファイルに存在するか,Aさん,Oさん,2025/06/17 10:26,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/13 13:35,"",Aさん,"","",2025/06/17,"","","",いいえ,"",""
174198,業務アシスタント-制御設計サポートAI,タスク,174197,No25_【調査】空フォーマットファイルへの転記処理後にオブジェクトがなくなる原因調査,フィードバック,通常,①Blob上の空フォーマットファイルにオブジェクトが存在するか確認,Aさん,Aさん,2025/06/13 13:38,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/13 13:34,"",Aさん,"","",2025/06/13,"","","",いいえ,"",「EVmatrix_format」・「EVmatrix_format_test」上のフォーマットファイルをダウンロードし、オブジェクトが存在すること確認済
174197,業務アシスタント-制御設計サポートAI,タスク,"","",フィードバック,通常,No25_【調査】空フォーマットファイルへの転記処理後にオブジェクトがなくなる原因調査,Aさん,"",2025/06/17 12:50,"",Sprint♯26,2025/06/11,2025/06/24,"",0.00,0,2025/06/13 13:27,"",Aさん,"","",2025/06/13,"","",0.00,いいえ,"",""
174116,データ化ツール,タスク,"","",新規,通常,【Docデータ化】AOAIのGPT4.1に投げられる画像の上限数、サイズ、拡張子の調査,Bさん,"",2025/06/13 09:29,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/06/13 09:29,"",Bさん,"","","","","","",いいえ,"",""
174114,データ化ツール,タスク,"","",新規,通常,"【Docデータ化】検証_AOAIに[{テキスト+画像},{テキスト+画像}]の様に渡せるか",Bさん,"",2025/06/17 09:51,"","",2025/06/13,"","","",0,2025/06/13 09:28,"","","","","","","","",いいえ,AISearchで類似度の高いドキュメント（分類）を検索後、分類ごとに画像とテキストをセットで複数組で渡せるか、渡したときに精度に影響がないかを調査,""
174111,データ化ツール,タスク,"","",新規,通常,【Docデータ化】DB、AISearchに日時情報を追加,Bさん,"",2025/06/17 09:42,"","",2025/06/13,"","","",0,2025/06/13 09:26,"","","","","","","","",いいえ,"
分類情報に対して日付情報（更新日付）を持たせる　AISearchのフィルタリング条件にも追加
",""
174106,走行制御DRアシスタント,タスク,173070,汎用アプリ_変化点補足出力検証,フィードバック,通常,STEP2_H列(AIによる要因推定)ベクトル検索,Hさん,Dさん,2025/06/13 17:39,"",Sprint#14,2025/06/10,2025/06/16,"","",0,2025/06/13 09:21,"",Dさん,"","",2025/06/13,"","","",いいえ,・モータの最高回転数が変化する,""
174104,走行制御DRアシスタント,タスク,173070,汎用アプリ_変化点補足出力検証,フィードバック,通常,STEP1_G列(分類解読)ベクトル検索,Hさん,Dさん,2025/06/13 17:39,"",Sprint#14,2025/06/10,2025/06/16,"","",0,2025/06/13 09:21,"",Dさん,"","",2025/06/13,"","","",いいえ,"・モータを変更
・モータの最高回転数が変化する","・モータを変更
・モータの最高回転数が変化する"
174103,データ化ツール,タスク,"","",新規,通常,【Docデータ化】フロントエンド_AOAIのトークン上限エラー、DIのファイルサイズ上限エラーのメッセージを画面に表示,Bさん,"",2025/06/13 09:25,"","",2025/06/13,"","","",0,2025/06/13 09:18,"",Bさん,"","","","","","",いいえ,"AOAIのトークン上限エラー、DIのファイルサイズ上限エラーのメッセージを画面に表示させる
inputしたドキュメントのトークン数と受け入れ可能な最大トークン/サイズ数も表示",""
174102,データ化ツール,タスク,"","",新規,通常,【Docデータ化】バックエンド_AOAIのトークン上限エラー、DIのファイルサイズ上限エラーのメッセージ,Bさん,"",2025/06/13 09:24,"","",2025/06/13,"","","",0,2025/06/13 09:18,"",Bさん,"","","","","","",いいえ,"AOAIのトークン上限エラー、DIのファイルサイズ上限エラーのメッセージを画面に表示させる
inputしたドキュメントのトークン数と受け入れ可能な最大トークン/サイズ数も表示",""
173965,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,新規,通常,TSさんへ提出,Aさん,Iさん,2025/06/12 11:34,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/12 11:33,"",Aさん,"","","","","","",いいえ,"",""
173964,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,新規,通常,内部最終確認,Aさん,Iさん,2025/06/12 11:34,"",Sprint♯26,2025/06/11,2025/06/20,"","",0,2025/06/12 11:33,"",Aさん,"","","","","","",いいえ,"",""
173963,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,新規,通常,ソースコードチェック,Aさん,Aさん,2025/06/12 11:36,"",Sprint♯26,2025/06/11,2025/06/19,"","",0,2025/06/12 11:33,"",Aさん,"","","","","","",いいえ,"",""
173962,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,新規,通常,内部チェック,Aさん,Aさん,2025/06/12 11:36,"",Sprint♯26,2025/06/11,2025/06/19,"","",0,2025/06/12 11:33,"",Aさん,"","","","","","",いいえ,"",""
173961,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,フィードバック,通常,各フォルダへの振り分け(杉原担当分),Aさん,Aさん,2025/06/17 16:24,"",Sprint♯26,2025/06/11,2025/06/18,"","",0,2025/06/12 11:33,"",Aさん,"","",2025/06/17,"","","",いいえ,"",""
173960,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,進行中,通常,各フォルダへの振り分け(早恵さん担当分),Aさん,Oさん,2025/06/17 15:28,"",Sprint♯26,2025/06/11,2025/06/18,"","",0,2025/06/12 11:33,"",Oさん,"","",2025/06/17,"","","",いいえ,"",""
173959,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,新規,通常,各フォルダへの振り分け(朝倉さん担当分),Aさん,Pさん,2025/06/12 11:35,"",Sprint♯26,2025/06/11,2025/06/18,"","",0,2025/06/12 11:32,"",Aさん,"","","","","","",いいえ,"",""
173958,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,新規,通常,各フォルダへの振り分け(高橋さん担当分),Aさん,Lさん,2025/06/12 11:35,"",Sprint♯26,2025/06/11,2025/06/18,"","",0,2025/06/12 11:32,"",Aさん,"","","","","","",いいえ,"",""
173957,業務アシスタント-制御設計サポートAI,タスク,173863,No25_【検収作業】FY25_1Q検収物対応,フィードバック,通常,各メンバーの担当フォルダ/ファイル決め,Aさん,Aさん,2025/06/17 12:51,"",Sprint♯26,2025/06/11,2025/06/13,"","",0,2025/06/12 11:32,"",Aさん,"","",2025/06/12,"","","",いいえ,"",ファイル分担展開済み
173943,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,"No25_【実装】""X""セルの背景色が黄色に塗られるように修正",Aさん,"",2025/06/12 16:05,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/12 10:21,2025/06/12 16:05,Aさん,"","",2025/06/12,2025/06/12,0.00,0.00,いいえ,"",""
173919,業務アシスタント作成検討,タスク,"","",フィードバック,通常,SSL証明書更新_更新手順確認,Dさん,Dさん,2025/06/12 09:29,"",Sprint＃49,2025/06/11,2025/06/24,"","",0,2025/06/12 09:27,"",Dさん,"","",2025/06/12,"","","",いいえ,"",""
173912,業務アシスタント作成検討,タスク,"","",新規,通常,t-click申請問い合わせ,Dさん,"",2025/06/12 09:19,"",Sprint#50,2025/06/25,2025/07/08,"","",0,2025/06/12 09:18,"",Dさん,"","","","","","",いいえ,"
①t-click申請が何者なのかと、
②ワイルドカード購入とt-click対応の必要性
を窓口に問い合わせる

SSL証明書関連
",""
173890,MatlabCoDriver,タスク,"","",新規,通常,現在使われていないリソース削除,Cさん,"",2025/06/13 09:32,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/11 17:34,"","","","","","","","",いいえ,"",""
173863,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【検収作業】FY25_1Q検収物対応,Aさん,"",2025/06/12 11:35,"",Sprint♯26,2025/06/11,2025/06/24,"",0.00,0,2025/06/11 15:20,"",Aさん,"","",2025/06/12,"","",0.00,いいえ,"Goal:
・FY251Q分の検出物がTSさんに提出される(〆6/24)こと(内部確認〆6/20)
　…切り口：6/16(月)",""
173859,MatlabCoDriver,タスク,"","",終了,通常,MatlabCodriver_リソース整理,Cさん,Cさん,2025/06/11 14:16,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/11 14:15,2025/06/11 14:16,Cさん,"","",2025/06/11,2025/06/11,0.00,0.00,いいえ,"",""
173858,MatlabCoDriver,タスク,169588,スルーテスト実施・レビュ,進行中,通常,テスト実施,Cさん,Cさん,2025/06/17 09:43,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/11 14:15,"",Bさん,"","",2025/06/17,"","","",いいえ,"",""
173853,業務アシスタント作成検討,タスク,"","",進行中,通常,【CAPT移行】汎用アプリ環境毎の設定値整理,Fさん,"",2025/06/12 09:29,"",Sprint＃49,2025/06/11,2025/06/24,"","",0,2025/06/11 13:57,"",Cさん,"","",2025/06/12,"","","",いいえ,"",""
173844,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,"No25_【実装】転記する値に""&""が含まれる場合、改行に置換するよう修正",Aさん,"",2025/06/12 11:24,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/11 13:08,"",Aさん,"","","","","","",いいえ,"Goal:
・検査パターン回答結果に""&""や""＆""が含まれる場合に""\n""に変換されて転記されること",""
173843,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【実装】エラーメッセージの統一修正,Aさん,"",2025/06/17 12:50,"",Sprint♯27,2025/06/25,2025/07/08,"","",0,2025/06/11 13:03,"",Aさん,"","","","","","",いいえ,"Goal:
・キュートリガー外のエラーも画面にメッセージで表示されること
・統一されたフォーマットでエラーメッセージが表示されること",""
173811,業務アシスタント作成検討,タスク,"","",進行中,通常,検収対応(FY25_1Q),Fさん,"",2025/06/12 08:58,"",Sprint＃49,2025/06/11,2025/06/24,"","",0,2025/06/11 09:51,"",Cさん,"","",2025/06/12,"","","",いいえ,"",""
173710,O-Beya（マルチエージェント）,タスク,"","",新規,通常,DRBFMシートの出力用UI検討,Eさん,"",2025/06/11 11:26,"","",2025/06/11,2025/06/24,"","",0,2025/06/10 15:24,"",Eさん,"","","","","","",いいえ,なぜなぜシートのUIとの差分を検討,""
173707,業務アシスタント-制御設計サポートAI,タスク,"","",進行中,通常,No25_【調査】PDFのページ数が多い場合に全てテキスト化できない問題の調査,Lさん,Lさん,2025/06/17 09:20,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/10 14:54,"",Lさん,"","",2025/06/10,"","","",いいえ,"Goal:
・全てテキストにできない問題が起こる条件をはっきりさせること
・その問題が起こる原因を示すこと
・今後の対応を明確にする(修正箇所を明らかにするetc...)","6/17
要件書抽出で該当ファイルでのみ3ページ目以降の要件書要約推論の際に今まで読み取ったページの情報が欠落していることが判明した。
(他のデータセットでも実行したが、欠落してなかった)
←　変数の値を確認したが、特に変な値が入っているところがなかった。"
173705,O-Beya（マルチエージェント）,タスク,"","",新規,通常,メモ：Sprint#22からポイントの計算を変更,Eさん,"",2025/06/10 14:43,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/10 14:43,"","","","","","","","",いいえ,"Sprint#21までまでよりも1.5倍のポイントを割り当てる
⇒ 予想消化もSprint#21までより1.5倍にする",""
173698,O-Beya（マルチエージェント）,タスク,"","",進行中,通常,複数の要因を含んだテキストから、個々の要因を全て抽出するプロンプト検証,Eさん,Eさん,2025/06/13 18:13,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/10 13:51,"",Eさん,"","",2025/06/13,"","","",いいえ,json structure モードで推論するため、pydanticでプロンプト検証用プログラムを作成してから検証,2025/06/13 プロンプト検証用プログラム作成完了。上西レビュー予定。
173697,O-Beya（マルチエージェント）,タスク,"","",新規,通常,なぜなぜ分析の仕組み検討,Eさん,"",2025/06/11 14:07,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/10 13:38,"",Eさん,"","","","","","",いいえ,"ポイントは仮で設定。UIが決まってから作業内容とポイントを確定。
なぜなぜ専用のワークフローを作る",""
173696,O-Beya（マルチエージェント）,タスク,"","",進行中,通常,なぜなぜシートのExcel出力の技術検証,Eさん,Eさん,2025/06/13 18:12,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/10 13:35,"",Eさん,"","",2025/06/12,"","","",いいえ,"適当なテキストをopenpyxlでなぜなぜシートに書き込んでみる。
",2025/06/12 木村さん実施中。Excel出力部分は検証完了。
173666,O-Beya（マルチエージェント）,タスク,"","",フィードバック,通常,なぜなぜ分析用UI検討,Eさん,Gさん,2025/06/13 18:19,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/10 11:03,"",Eさん,"","",2025/06/12,"","","",いいえ,タブでなぜなぜ用の入力フォームに切り替えて実行するUIを図示,2025/06/10 UIイメージを大西さんから頂いたので、方針変更のため中断。
173135,O-Beya（マルチエージェント）,タスク,171180,会話内容をもとにシートに書きだすシステム：要件定義～仕様検討,フィードバック,通常,UI検討,Eさん,Eさん,2025/06/10 09:05,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/06/06 17:55,"",Eさん,"","",2025/06/06,"","","",いいえ,"",2025/06/06 IVISレビュー依頼
173128,O-Beya（マルチエージェント）,タスク,"","",進行中,通常,検収作業続き,Eさん,Eさん,2025/06/12 18:28,"",Sprint#22,2025/06/11,2025/06/24,"","",0,2025/06/06 17:47,"",Eさん,"","",2025/06/12,"","","",いいえ,"",""
173113,業務アシスタント-制御設計サポートAI,タスク,170251,No25_【実装】空フォーマットマトリクスへの転記処理の作成,終了,通常,参照するベースフォーマットのパスをBlobに存在する空フォーマットのパスに変更,Aさん,Aさん,2025/06/17 12:47,"",Sprint♯25,2025/05/28,2025/06/10,"","",0,2025/06/06 16:26,2025/06/17 12:47,Aさん,"","",2025/06/06,2025/06/17,0.00,0.00,いいえ,"",""
173107,O-Beya（マルチエージェント）,タスク,171425,新メンバーへのスキトラ（既存メンバーの作業分）,フィードバック,通常,O-Beyaのソースコードを理解,Eさん,"",2025/06/11 09:57,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/06/06 15:50,"",Eさん,"","",2025/06/06,"","","",いいえ,"",""
173106,業務アシスタント-制御設計サポートAI,タスク,169517,No25_【実装】空フォーマットへの転記時体裁調整処理作成,終了,通常,④列幅・行幅調整処理実装,Aさん,"",2025/06/17 12:47,"",Sprint♯25,2025/05/28,2025/06/10,"","",20,2025/06/06 15:33,2025/06/17 12:47,Aさん,"","",2025/06/06,2025/06/17,0.00,0.00,いいえ,"","列幅調整処理実装前に検討事項あり

→行の高さ調整処理実装は概ね完了(未レビュー)"
173092,データ化ツール,タスク,"","",新規,通常,【Docデータ化】動確_0606_分類の一括オープン,Kさん,"",2025/06/06 13:46,"","",2025/06/06,"","","",0,2025/06/06 13:46,"","","","","","","","",いいえ,"",""
173090,データ化ツール,タスク,"","",新規,通常,【Docデータ化】動確_0606_SPO上のファイルを指定,Kさん,"",2025/06/06 13:46,"","",2025/06/06,"","","",0,2025/06/06 13:46,"","","","","","","","",いいえ,"CAPTで利用したGraphAPIを利用すれば実現可能と思います。
ただし、データ化アプリ⇒SPO のファイアウォールの穴あけが必要となりますので、
任意のSPOからではなく、特定のSPOのみ可能となるかと思います。
バックログに追加し、詳細については別途会話",""
173089,データ化ツール,タスク,"","",新規,通常,【Docデータ化】動確_0606_JSONに読み込みファイルのフルパス表示,Kさん,"",2025/06/06 13:45,"","",2025/06/06,"","","",0,2025/06/06 13:45,"","","","","","","","",いいえ,"",""
173088,データ化ツール,タスク,"","",新規,通常,【Docデータ化】動確_0606_PDFの拡大表示,Kさん,"",2025/06/06 13:44,"","",2025/06/06,"","","",0,2025/06/06 13:44,"","","","","","","","",いいえ,"",""
173086,データ化ツール,タスク,"","",終了,通常,【Docデータ化】動確_0606_分類分け失敗時のメッセージ通知,Kさん,Bさん,2025/06/13 09:09,"",Sprint#4,2025/06/06,"","","",0,2025/06/06 13:41,2025/06/13 09:09,Bさん,"","",2025/06/09,2025/06/13,0.00,0.00,いいえ,"",""
173070,走行制御DRアシスタント,タスク,"","",進行中,通常,汎用アプリ_変化点補足出力検証,Dさん,Hさん,2025/06/13 17:44,"",Sprint#14,2025/06/10,2025/06/16,"",0.00,0,2025/06/06 11:19,"",Dさん,"","",2025/06/13,"","",0.00,いいえ,現状の汎用アプリを使ってSTEP1の「変化点の補完」が表現出来るか確認,"TMC側との間で認識違いが発生していた。

TMC側：入力変化点で専門用語集(説明文)を検索し、取得した専門用語リストを使い変化点補完
開発側：入力変化点で関連文書を検索し、入力+関連文書の内容で専門用語検索し変化点補完

TMC側の考えで進めるために専門用語検索機能を作る。"
173036,O-Beya（マルチエージェント）,タスク,171180,会話内容をもとにシートに書きだすシステム：要件定義～仕様検討,フィードバック,通常,シナリオテスト修正,Eさん,Eさん,2025/06/11 09:16,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/06/06 09:11,"",Eさん,"","",2025/06/06,"","","",いいえ,"",2025/06/10 方針が変わったので中断。今後改めて実施予定。
173035,O-Beya（マルチエージェント）,タスク,171180,会話内容をもとにシートに書きだすシステム：要件定義～仕様検討,フィードバック,通常,影響範囲確認,Eさん,"",2025/06/11 09:16,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/06/06 09:10,"",Eさん,"","",2025/06/11,"","","",いいえ,影響範囲確認シートを使用,2025/06/10 方針が変わったので中断。今後改めて実施予定。
173034,O-Beya（マルチエージェント）,タスク,171180,会話内容をもとにシートに書きだすシステム：要件定義～仕様検討,フィードバック,通常,機能テスト仕様書作成,Eさん,Eさん,2025/06/11 09:16,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/06/06 09:09,"",Eさん,"","",2025/06/06,"","","",いいえ,"",2025/06/10 方針が変わったので中断。今後改めて実施予定。
173031,MatlabCoDriver,タスク,169588,スルーテスト実施・レビュ,フィードバック,通常,stagingスロット作成,Cさん,"",2025/06/10 17:44,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/06 09:03,"",Bさん,"","",2025/06/06,"","","",いいえ,"",""
173030,MatlabCoDriver,タスク,169588,スルーテスト実施・レビュ,フィードバック,通常,テストケース追加,Cさん,"",2025/06/10 17:44,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/06 09:03,"",Bさん,"","",2025/06/06,"","","",いいえ,"",""
172964,走行制御DRアシスタント,タスク,"","",終了,通常,G列と変化点のベクトル検索検証,Hさん,Hさん,2025/06/13 17:45,"",Sprint#13,2025/06/03,2025/06/09,"","",0,2025/06/05 19:29,2025/06/13 17:45,Dさん,"","",2025/06/05,2025/06/13,0.00,0.00,いいえ,"ExcelのG列と入力した変化点がベクトル検索でどうなるか検証。
devのrowsにデータ入れて試す
","■G列のベクトル検索を実装する方向なった場合に必要なこと
・仕様検討
　→データが取れすぎるので、そもそもどう使うか考える

★API
・G列用のAPIを作成する
・G列ベクトル検索のコンテナの作成

★Webアプリ
・APIのリクエスト作成
・画面の検討
・画面の実装"
172804,データ化ツール,タスク,"","",終了,通常,【M365Copilot】アカウント切り替え案_月曜開発作業,Cさん,Cさん,2025/06/11 15:50,"",Sprint#4,2025/05/28,2025/06/10,"","",0,2025/06/05 09:45,2025/06/11 15:50,Cさん,"","",2025/06/05,2025/06/11,0.00,0.00,いいえ,"","残タスク
・コピーボタン修正
・cloudフロー動作確認"
172782,O-Beya（マルチエージェント）,タスク,171425,新メンバーへのスキトラ（既存メンバーの作業分）,フィードバック,通常,O-Beyaの使い方を知ってもらう,Eさん,Gさん,2025/06/06 15:49,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/06/05 09:22,"",Eさん,"","",2025/06/05,"","","",いいえ,"",2025/06/05 完了
172777,業務アシスタント-制御設計サポートAI,タスク,169517,No25_【実装】空フォーマットへの転記時体裁調整処理作成,終了,通常,レビュー,Aさん,Oさん,2025/06/17 12:47,"",Sprint♯25,2025/05/28,2025/06/10,"","",0,2025/06/05 09:20,2025/06/17 12:47,Aさん,"","",2025/06/09,2025/06/17,0.00,0.00,いいえ,"",""
172776,業務アシスタント-制御設計サポートAI,タスク,169517,No25_【実装】空フォーマットへの転記時体裁調整処理作成,終了,通常,③二重線(縦)の追記処理実装,Aさん,"",2025/06/17 12:47,"",Sprint♯25,2025/05/28,2025/06/10,"","",80,2025/06/05 09:20,2025/06/17 12:47,Aさん,"","",2025/06/06,2025/06/17,0.00,0.00,いいえ,"",""
